subject,group,primaryHBdist
1,Tg,79.9333879253803
2,Tg,156.347662177368
3,Tg,35.4359773646704
4,Tg,173.616615336336
5,Tg,50.2663630328141
6,Tg,44.0474110358222
7,Tg,118.288300702151
8,Tg,13.4356795483707
9,Tg,5.79245895581286
10,Tg,169.706066559454
11,Tg,29.4351404980586
12,Tg,8.1944266898205
13,Wt,52.7820037265432
14,Wt,184.919277711265
15,Wt,66.8220972127573
16,Wt,30.1215061825826
17,Wt,172.103514329076
18,Wt,165.754694446893
19,Wt,182.504484659031
20,Wt,170.830980618819
21,Wt,17.1317954328293
22,Wt,30.9537262944794
23,Wt,183.116288283643
24,Wt,21.7941568802484
