subject,day,group,time2cue
1,D1,Tg,NaN
1,D2,Tg,NaN
2,D1,Tg,50.9666666666667
2,D2,Tg,NaN
3,D1,Tg,NaN
3,D2,Tg,NaN
4,D1,Tg,34.8333333333333
4,D2,Tg,65.6333333333333
5,D1,Tg,NaN
5,D2,Tg,NaN
6,D1,Tg,NaN
6,D2,Tg,NaN
7,D1,Tg,1090.66666666667
7,D2,Tg,0
8,D1,Tg,NaN
8,D2,Tg,1.40000000000001
9,D1,Tg,20.7
9,D2,Tg,6.40000000000001
10,D1,Tg,93.9666666666667
10,D2,Tg,2.23333333333333
11,D1,Tg,1447.03333333333
11,D2,Tg,10.8666666666667
12,D1,Tg,NaN
12,D2,Tg,NaN
13,D1,Wt,NaN
13,D2,Wt,1686.26666666667
14,D1,Wt,42.4666666666667
14,D2,Wt,NaN
15,D1,Wt,NaN
15,D2,Wt,NaN
16,D1,Wt,64.2
16,D2,Wt,5.23333333333333
17,D1,Wt,NaN
17,D2,Wt,76.6
18,D1,Wt,18.1333333333333
18,D2,Wt,NaN
19,D1,Wt,124.033333333333
19,D2,Wt,932.933333333333
20,D1,Wt,222
20,D2,Wt,10.4
21,D1,Wt,818.9
21,D2,Wt,24.1666666666667
22,D1,Wt,470.133333333333
22,D2,Wt,9.13333333333333
23,D1,Wt,26.8333333333333
23,D2,Wt,20.7333333333333
24,D1,Wt,58.7666666666667
24,D2,Wt,3.53333333333334
