subID,group,day,circuity,num_runs,run_length,proximity_cue,median_peak_vel,median_duration,median_inter_run_interval
Tg102_D1,tg,D1,0.474414194129612,8,147.725887224815,103.985544881651,7.23156728798551,13.3833333333334,28.6
Tg102_D2,tg,D2,0.353525645224267,5,53.4380965727203,168.011105254438,3.27896954794154,15.4666666666667,232.283333333333
Tg103_D1,tg,D1,0.130542800746896,12,61.5212741187238,10.1579181429822,2.81402405369501,10.5,79.0333333333333
Tg103_D2,tg,D2,0.232223003159873,10,81.7509940002762,155.781968219716,3.02285317337606,16.8666666666667,31.6666666666667
Tg104_D1,tg,D1,0.44438665859666,5,72.2876018902183,161.700048834054,3.5001671750408,14.6,312.883333333333
Tg104_D2,tg,D2,0.424582991058176,15,48.0351451086121,170.057056828878,3.35804298560078,14.8333333333333,55.3833333333334
Tg105_D1,tg,D1,0.0529296929459784,10,87.2438539778021,8.46747691009584,3.48548212109815,16.3833333333333,107.233333333333
Tg105_D2,tg,D2,0.778706917680474,16,137.7429452826,119.889028201466,5.60550585512997,10.05,22.0666666666667
Tg106_D1,tg,D1,0.512845920250996,20,40.0998459093001,159.078850653114,2.99302972410303,7.88333333333331,18.4
Tg106_D2,tg,D2,0.18441558942547,5,142.389834340264,167.863115424641,5.56715269788412,27.3666666666668,74.4666666666667
Tg108_D1,tg,D1,0.531371264759144,14,63.1596943262894,119.917446058367,3.71544836807307,6.73333333333331,43.1333333333333
Tg108_D2,tg,D2,0.682284185348929,11,52.3697400724401,168.501664473814,5.41707236527469,6.20000000000005,24.3
Tg109_D1,tg,D1,0.472494284809173,21,62.2111669429626,9.08654756220911,3.47532279285462,8.13333333333333,26.35
Tg109_D2,tg,D2,0.483658848525887,10,84.4691527390943,60.9276029713358,4.82022118637686,13.3833333333333,22.5
Tg110_D1,tg,D1,0.53650347710752,16,136.695607422594,163.15473983434,4.49324228893768,16.0999999999999,24.7
Tg110_D2,tg,D2,0.670008010945449,17,61.5647374284618,170.847813971282,3.56245964588722,8.5333333333333,44.0833333333333
Tg111_D1,tg,D1,0.0581318612669051,11,91.936695902663,9.69695962419647,4.2504616444472,11.0666666666667,92.0166666666667
Tg111_D2,tg,D2,0.620467469083303,33,139.493731291108,90.4180365981653,3.3522425853648,8.70000000000005,27.8166666666666
Tg112_D1,tg,D1,0.677137608188229,17,101.513821905817,93.0316787543458,4.89237469885513,9.5,15.2
Tg112_D2,tg,D2,0.861026441429694,25,117.897782206614,97.7137198100788,3.92639214272294,6.13333333333344,19.8
Tg113_D1,tg,D1,0.632591042431734,23,90.1313019298898,95.5664764224878,4.3603524899223,6.79999999999995,20.4166666666667
Tg113_D2,tg,D2,0.49561624210229,10,119.213567269285,102.106741197273,5.60943970302116,19.8499999999999,33.8333333333334
Tg114_D1,tg,D1,0.321327138997763,9,64.3436780094103,150.036037358633,4.41145402626656,13.2666666666667,36.7666666666667
Tg114_D2,tg,D2,0.0880555794885721,3,134.185116084815,147.248897560583,2.95731479703527,34.5999999999999,671.9
WT200_D1,wt,D1,0.469614513200578,4,106.456521967109,172.262748535111,9.16805940488429,16.0833333333333,14.4
WT200_D2,wt,D2,0.410975689243383,5,237.950776801126,157.153406251908,8.91501862612595,27.9333333333333,41.8166666666667
WT201_D1,wt,D1,0.445687804991656,9,71.4207509393946,5.50781625097845,3.86335555636164,6.06666666666666,15.0666666666667
WT201_D2,wt,D2,0.250150191442516,8,96.5954927075177,126.095878515353,6.61264964129962,11.7166666666666,19.7
WT202_D1,wt,D1,0.595891430287385,14,82.0808734072034,176.159280681268,3.1466711685164,12.4666666666667,32.3333333333333
WT202_D2,wt,D2,0.642763278094189,19,69.2273795756186,153.003962086531,4.4376852708805,7.86666666666667,25.3333333333334
WT203_D1,wt,D1,0.0955505286325449,14,67.8549162157698,12.0083235795334,3.40048053927062,11.75,64.7
WT203_D2,wt,D2,0.149587280099972,7,100.031865293124,14.257911114753,2.65514206091163,17.3666666666667,20.8166666666667
WT204_D1,wt,D1,0.168671319019948,5,55.5284171769829,161.240609374066,5.17648066334981,15.9666666666667,211.416666666667
WT204_D2,wt,D2,0.547602827931537,18,81.0841394151889,50.6109487782982,5.51685540893778,9.48333333333335,27.3333333333335
WT205_D1,wt,D1,0.0601833922339865,5,192.424283579687,10.0633475097972,4.68946146611558,36.1333333333333,322.283333333333
WT205_D2,wt,D2,0.154424273984239,6,67.3158499658117,166.734240623519,2.63507395669508,18.5166666666666,54.0333333333333
WT206_D1,wt,D1,0.368473926098183,11,70.3416540755422,10.7989304501213,3.87231006717623,12.4,64.5166666666667
WT206_D2,wt,D2,0.723365031475738,22,41.2667527181326,167.489247722491,2.68373687272133,5.18333333333334,19.9333333333333
WT207_D1,wt,D1,0.476727542952148,13,48.1190546787799,8.81032910353577,2.98331520436306,7.30000000000001,43.3333333333332
WT207_D2,wt,D2,0.420640280877631,10,81.8536379099354,154.164629622736,4.84174953799877,12.85,21.4
WT208_D1,wt,D1,0.235752962023403,10,70.0093967455742,110.247633537548,5.1417158505916,10.2,24.9333333333333
WT208_D2,wt,D2,0.249706904811709,5,77.1873170873352,11.6656478804719,4.62808291645221,20.4,23.4
WT209_D1,wt,D1,0.544276534302239,11,148.130828105357,102.975655121606,3.4533447801791,11.3,50.1666666666667
WT209_D2,wt,D2,0.225447639664145,10,74.1796755020305,14.8184417736173,3.9496338582121,7.46666666666673,27.5333333333333
WT210_D1,wt,D1,0.125577880394851,11,112.87378841399,4.44591040891488,2.56106410437809,17.3,76.6166666666667
WT210_D2,wt,D2,0.73385955217539,26,122.710502948289,87.1813389140152,3.84164938557129,7.83333333333329,19.9000000000001
WT211_D1,wt,D1,0.30798485004902,20,48.0977694186451,6.27782997741726,2.94693185108482,7.51666666666662,74.5
WT211_D2,wt,D2,0.800158966702848,32,79.2514420320621,123.710601681034,3.05308827157841,6.53333333333332,14.5333333333333
