subject,day,group,seg_circ,seg_dur,stop_dur,seg_dist,seg_dur_out
1,D1,Tg,0.738806946450761,2.13333333333333,3.33333333333333,20.3661338269052,6.73333333333333
1,D2,Tg,0.788767677735125,1.7,9.63333333333333,9.41789478157548,12
2,D1,Tg,0.506576020778906,1.66666666666667,4.4,11.414598941616,4.73333333333333
2,D2,Tg,0.706892130314993,1.8,4.98333333333333,10.8804330520465,6.63333333333333
3,D1,Tg,0.84420606521607,1.6,6.78333333333333,11.0771491062722,5.3
3,D2,Tg,0.828214856842664,1.55,14.1,12.1014281115434,18.8666666666667
4,D1,Tg,0.616646048757537,1.7,5.9,12.0376878559288,6.8
4,D2,Tg,0.846952996716606,2.06666666666667,4.7,22.77051321181,0
5,D1,Tg,0.812060975270298,1.76666666666667,5.01666666666667,15.02090350588,7.13333333333333
5,D2,Tg,0.81115585929424,1.76666666666667,6.4,14.0223248526305,22.55
6,D1,Tg,0.803874349735303,2.63333333333333,3.56666666666667,23.1035641163391,0
6,D2,Tg,0.827910707072466,1.96666666666667,8.06666666666667,21.3649260438999,0
7,D1,Tg,0.673001075184392,2.13333333333333,3.75,17.5294015816884,0
7,D2,Tg,0.773374168054122,1.93333333333333,6.06666666666667,19.5329946761011,6.4
8,D1,Tg,0.786448504960289,2.45,4.1,22.6557837622565,5.86666666666667
8,D2,Tg,0.819628780084882,2,7.35,15.9874456705943,7.86666666666667
9,D1,Tg,0.692880417117116,1.76666666666667,4.7,13.3607531047351,4.93333333333333
9,D2,Tg,0.864244650007563,2.2,3.6,22.9224959506682,4.3
10,D1,Tg,0.706496187222066,1.73333333333333,4.51666666666667,11.2812439643532,4.4
10,D2,Tg,0.894293498608531,2.76666666666667,5.06666666666667,37.1189737349883,4.46666666666667
11,D1,Tg,0.790390222839111,2.5,3.06666666666667,17.1753322005191,0
11,D2,Tg,0.843733596664062,2.36666666666667,9.3,22.2844183472568,4.33333333333333
12,D1,Tg,0.782367313505425,1.96666666666667,3.88333333333333,17.8566568542488,3.56666666666667
12,D2,Tg,0.801263372586136,1.86666666666667,6.46666666666667,16.8514633851609,9.63333333333333
13,D1,Wt,0.715675566058677,1.66666666666667,5.96666666666667,13.1822915099677,2.03333333333333
13,D2,Wt,0.70134723718475,2.66666666666667,2.93333333333333,24.2378248351246,4.98333333333333
14,D1,Wt,0.408666246918359,1.91666666666667,6.65,11.0240367807327,7.03333333333333
14,D2,Wt,0.697447300474208,2.26666666666667,6.1,13.2794541740969,9.61666666666667
15,D1,Wt,0.778167538245964,2.13333333333333,6.76666666666667,15.5900750732137,0
15,D2,Wt,0.855645132526249,2.05,4.63333333333333,15.5392237428259,7.43333333333333
16,D1,Wt,0.598139597399726,1.86666666666667,5.16666666666667,12.0111514395327,7.43333333333333
16,D2,Wt,0.708665927772946,1.91666666666667,8.81666666666667,16.9031241873428,9.5
17,D1,Wt,0.76238088599015,1.95,9.56666666666667,12.0790023537561,13.8
17,D2,Wt,0.749501961810761,2.03333333333333,6.76666666666667,14.8064453134695,5.88333333333333
18,D1,Wt,0.603718719246081,2.23333333333333,3.18333333333333,18.3967410493677,8.33333333333333
18,D2,Wt,0.76138218407717,2.05,9.2,15.5961150970235,16.75
19,D1,Wt,0.701762793067332,1.98333333333333,5.66666666666667,14.1578149039548,6.38333333333333
19,D2,Wt,0.844065593027408,1.7,8.48333333333333,17.3134750009407,0
20,D1,Wt,0.736394910818438,1.95,5.63333333333333,14.2502939941478,9.26666666666667
20,D2,Wt,0.797037794587811,2,8.46666666666667,14.0702523839448,9.83333333333333
21,D1,Wt,0.609976206502415,2.58333333333333,6,17.2245181335186,0
21,D2,Wt,0.814900410765454,1.63333333333333,7.86666666666667,13.0755984507673,10.2666666666667
22,D1,Wt,0.688139059982733,2.2,4.16666666666667,16.8934928904045,6.76666666666667
22,D2,Wt,0.793982512974509,3,5.71666666666667,27.5964185941057,7.76666666666667
23,D1,Wt,0.363007264188754,1.9,6.03333333333333,13.4378828798469,6.38333333333333
23,D2,Wt,0.858324655130428,2.5,3.73333333333333,27.8888595950239,3.6
24,D1,Wt,0.697067144613633,1.83333333333333,4.66666666666667,15.1317301190099,5.56666666666667
24,D2,Wt,0.866476947973285,2.21666666666667,4.35,24.4330904910063,3.63333333333333
