Subject,day,group,pathL_diff,searchArea_diff,runSpeed_diff,runAngVel_diff,stopAngVel_diff,numRuns_diff,numStops_diff,outside_hb_stop_diff,CueEntries_diff,CueStops_diff,runAcell_diff,cue_dwell_diff
Tg102,D2,Tg,-1121.96126292308,-0.0862756264236902,-2.84745947387565,-9.66457542314105,0.343527613043754,-28,-18,0.554716981132076,0,0,-4.39952752170189,0
Tg103,D2,Tg,-144.742176132497,0.0290432801822323,1.19126034680363,-17.6639547730356,0.0930470253075981,-9,-25,-0.228082512892639,-22,-28,-0.174384363303277,-1106.03333333333
Tg104,D2,Tg,-712.168677766982,-0.0401480637813212,-0.712835038114047,-2.64836181114457,-4.43518774258112,-9,-11,0.191922169811321,0,0,0.382180867484992,-1.03333333333333
Tg105,D2,Tg,1523.71898691068,0.160592255125285,5.71146414535445,-25.6716790822058,-12.2059284434221,6,-8,-0.905882352941176,-34,-44,3.36266058546913,-1489.03333333333
Tg106,D2,Tg,-678.707187783443,-0.0475512528473804,-0.633863917385746,-7.14512812772566,3.13948165038805,-26,-18,-0.0185185185185186,0,0,-2.82497813837228,0
Tg108,D2,Tg,-1172.03214762906,-0.126993166287016,-1.26210753617085,-16.8024402559677,-6.68054430604158,-23,-25,0,0,0,0.83872593660856,-1.3
Tg109,D2,Tg,-927.34253685827,-0.0492596810933941,1.79083612055087,-13.0003982784336,6.09940900584993,-46,-41,0.26984126984127,-11,-24,0.615563631131177,-507.7
Tg110,D2,Tg,-1192.66159537051,-0.0338838268792711,-1.19850668524556,-6.74403912734402,0.206024209565081,-14,-11,-0.613873626373626,3,2,-2.13787078292177,93.0666666666667
Tg111,D2,Tg,4975.76157487213,0.238041002277904,3.96391404917141,-8.22818358966536,-4.69805906153882,77,31,-0.877470930232558,-20,-85,4.31666769742472,-1165.2
Tg112,D2,Tg,1426.59804343793,0.0959567198177677,6.61267265834723,-16.1492040762704,-7.71936182461543,-19,-38,-0.142173913043478,-49,-49,6.08562080592821,-1049.33333333333
Tg113,D2,Tg,-2152.93225343271,-0.179384965831435,2.46511299265687,1.80648688724104,-0.849671231714284,-65,-53,0.0256410256410256,1,2,4.99429841795917,-196.6
Tg114,D2,Tg,-874.790720284544,-0.0486902050113895,0.91582597667011,10.9748570824235,-2.77739901429978,-30,-34,0.664814814814815,0,0,-1.03162600173424,0
WT200,D2,Wt,521.482887737774,0.0407175398633257,-0.515127102964012,0.930947449511066,-2.22773602261376,4,19,0.768055555555556,1,0,-1.76466520593899,13.1333333333333
WT201,D2,Wt,40.8051714381045,0.0230637813211845,0.81393920449471,-16.5686932017994,-20.7329550442909,0,-26,-0.27037037037037,-25,-55,-0.309726023224378,-1675.73333333333
WT202,D2,Wt,-77.2337795041744,0.00740318906605923,1.62917775224931,-10.5814487302532,-0.808628186039055,-3,17,0.0319148936170213,0,0,0.906114319480459,0
WT203,D2,Wt,-352.43048806152,0.00142369020501139,3.99772674985148,6.28790260363463,15.2846727784781,-41,-62,-0.141544117647059,-43,-36,5.99708224657037,-1476.06666666667
WT204,D2,Wt,307.909711267988,0.0538154897494305,-0.557804265040556,3.31910440905874,10.0700911138521,16,11,-0.150340136054422,6,23,-2.09652292382843,885.5
WT205,D2,Wt,-314.838428169873,-0.00541002277904328,0.626976254583068,-5.53739298304355,7.26939318656154,-11,-19,0.0369047619047619,-13,-21,5.40908663849899,-715.433333333333
WT206,D2,Wt,196.740908419365,0.010250569476082,0.497109497176991,-9.01414357513556,-10.5999996515569,11,-11,-0.938271604938272,-32,-53,0.316278754486845,-1489.6
WT207,D2,Wt,-639.549476387842,-0.0264806378132118,0.864461442008015,-18.8895137000739,-13.8167628429743,-12,-25,-0.191713483146067,-35,-31,-0.133038366049215,-926.733333333333
WT208,D2,Wt,-889.233565642237,-0.063496583143508,1.93204533937033,-1.4354690030472,21.5631384233691,-32,-57,0.791666666666667,3,5,3.14871811898964,-157.733333333333
WT209,D2,Wt,-1811.89097866688,-0.143507972665148,0.85473084182895,-6.29399773557164,-6.40366301558647,-44,-47,0.393902166629439,0,16,1.65023207578789,1086.26666666667
WT210,D2,Wt,2929.71077723195,0.196753986332574,4.54992056455859,-9.23718125266531,-11.1790599794987,32,-13,-0.909816612729234,-35,-89,3.57778102975242,-1156.46666666667
WT211,D2,Wt,1950.08417323475,0.147209567198178,2.18375991203703,-21.1622536604912,-13.55400781862,43,17,-0.758656957928803,-20,-42,-0.0361366868360911,-306.5
